,Location,Country,Date,1oHazard,2oHazard,Dead,Party,Sport
157,Les Louerettes,Switzerland,2020-12-29,,,1,0,
158,Val Travenanzes gruppo tofane,Italy,2021-01-09,Persistent weak layer,Wind slab,1,3,Off-piste skiing
159,Costa del Palio,Italy,2021-01-13,Wind slab,Wind slab,1,2,Off-piste skiing
160,Torrione Roma,Italy,2021-01-14,Wind slab,Wind slab,1,1,Off-piste skiing
161,Devero-Valle Antigorio,Italy,2021-01-16,Wind slab,Wind slab,2,2,Off-piste skiing
162,Emmetten,Switzerland,2021-01-15,,,1,0,
163,Klosters-Serneus,Switzerland,2021-01-16,,,1,0,
164,Engelberg,Switzerland,2021-01-16,,,1,0,
165,Morschach,Switzerland,2021-01-16,,,1,0,
166,Veytaux,Switzerland,2021-01-17,,,1,0,
167,Gstaad,Switzerland,2021-01-17,,,1,0,
168,Val de Bagnes,Switzerland,2021-01-18,,,1,0,
169,Nendaz,Switzerland,2021-01-18,,,1,0,
170,Sandkogel,Austria,2021-01-15,Wind slab,,1,2,Backcountry skiing
171,San Isidro,Spain,2021-01-01,,,2,3,Travelling on road
172,"Jeseníky, Velký Kotel",Czechia,2021-01-15,Wind slab,Persistent weak layer,1,3,Backcountry skiing
173,malga boschetto - Val Camonica- Mortirolo,Italy,2021-01-24,Wind slab,Wind slab,1,5,Snowmobiling
174,Wanglspitze,Austria,2021-01-20,Persistent weak layer,Wind slab,1,2,Off-piste skiing
175,Le Monêtier les bains,France,2020-12-22,Persistent weak layer,Wet snow,1,5,Backcountry skiing
176,St Bon Tarentaise,France,2021-01-13,,,1,1,Backcountry skiing
177,Tignes,France,2021-01-16,Wind slab,Persistent weak layer,1,4,Backcountry skiing
178,Stosswihr,France,2021-01-17,,,1,2,Backcountry skiing
179,Saint Christophe en Oisans,France,2021-01-17,Persistent weak layer,Wind slab,2,2,Backcountry skiing
180,Farges,France,2021-01-20,,,1,2,Backcountry skiing
181,Saint-Christophe-sur-Guiers,France,2021-01-20,Wind slab,Persistent weak layer,1,1,Backcountry skiing
182,Jarsy,France,2021-01-21,,,1,1,Backcountry skiing
183,Aillons-le-Vieux,France,2021-01-29,New snow,Wind slab,1,2,Backcountry skiing
184,Bourg-Saint-Maurice,France,2021-01-29,Wind slab,Persistent weak layer,1,3,Backcountry skiing
185,La Grave,France,2021-01-24,New snow,Wind slab,1,1,Backcountry skiing
186,Le Freney-d\'Oisans,France,2021-01-26,Wind slab,New snow,1,2,Backcountry skiing
187,Aussois,France,2021-01-26,Wind slab,Wet snow,1,2,Backcountry skiing
188,Grust,France,2021-01-26,Wind slab,Wet snow,1,1,Backcountry skiing
189,Vallone Sautron/ Acceglio (CN),Italy,2021-01-30,New snow,Wind slab,1,10,Off-piste skiing
190,Passo della Gardetta Acceglio (CN),Italy,2021-01-31,New snow,Wind slab,1,2,Off-piste skiing
191,Le Monêtier les bains,France,2021-01-31,Wind slab,Persistent weak layer,1,2,Backcountry skiing
192,Juifenalm,Austria,2021-01-30,Persistent weak layer,Wind slab,2,2,Backcountry skiing
193,Widdersbergsattel,Austria,2021-01-30,Persistent weak layer,,1,1,Backcountry skiing
194,Neunerkogel,Austria,2021-01-30,Persistent weak layer,,1,3,Off-piste skiing
195,Arbeserkogel,Austria,2021-02-01,Persistent weak layer,,1,2,Backcountry skiing
196,Chateauroux les Alpes,France,2021-02-05,,,1,0,
197,Mitterkoegerl / Teufenbachtal,Austria,2021-01-30,Wind slab,Persistent weak layer,1,1,Backcountry skiing
198,Cima del Bosco,Italy,2021-02-08,New snow,Wind slab,2,2,Backcountry skiing
199,M. Giovo,Italy,2021-02-13,Wind slab,Wind slab,1,3,Off-piste skiing
200,Sella Nevea,Italy,2021-02-13,Wind slab,Wind slab,1,1,Off-piste skiing
201,"barmerousse, 74190 Passy",France,2021-02-13,New snow,Wind slab,1,0,Backcountry skiing
202,Skittentinden,Norway,2021-01-16,Persistent weak layer,,1,1,Backcountry skiing
203,Vassfjellet,Norway,2021-01-23,,,1,1,On skiruns
204,Bjørnlitinden,Norway,2021-01-23,Wind slab,,1,2,Mountaineering/Climbing
205,"Borgdalen, Jan Mayen",Norway,2021-01-30,,,2,3,Backcountry skiing
206,Kondratova kopa,Slovakia,2021-02-13,Wind slab,,2,3,Backcountry skiing
207,Lavaldens (38350),France,2021-02-13,New snow,Wind slab,1,1,Backcountry skiing
208,"Krkonoše, Obří důl, Úpička",Czechia,2021-02-15,Wind slab,Persistent weak layer,1,2,Backcountry skiing
209,Valle Majelama,Italy,2021-01-24,Wet snow,Wet snow,4,4,Hiking on foot or snowshoeing
210,Les 2 Alpes - col des Gourses,France,2021-02-21,Wind slab,,1,1,
211,M. Fregasoga,Italy,2021-02-22,Wet snow,Wet snow,1,3,
212,Warscheneck,Austria,2021-02-20,Persistent weak layer,Wet snow,1,2,
213,Nendaz,Switzerland,2021-01-23,,,1,0,
214,La Fouly VS,Switzerland,2021-01-31,,,1,0,
215,Celerina,Switzerland,2021-02-04,,,1,0,
216,Safiental,Switzerland,2021-02-11,,,1,0,
217,Kistrand rv80,Norway,2021-02-25,Wet snow,Persistent weak layer,1,1,Travelling on road
218,Aime-La-Plagne (73 210),France,2021-03-19,Persistent weak layer,New snow,1,3,Backcountry skiing
219,Passo della Manina,Italy,2021-03-22,Wind slab,Wind slab,1,3,Off-piste skiing
220,Bozel - Dou de Moûtiers,France,2021-03-24,Persistent weak layer,Wet snow,1,2,Backcountry skiing
221,Pontresina,Switzerland,2021-02-17,,,1,0,
222,Davos,Switzerland,2021-03-17,,,1,0,
223,Hérémence,Switzerland,2021-03-20,,,1,0,
224,Ayent,Switzerland,2021-03-21,,,1,0,
225,Mont-Noble,Switzerland,2021-03-21,,,1,0,
226,Anniviers,Switzerland,2021-03-23,,,1,0,
227,Andermatt,Switzerland,2021-03-23,,,2,0,
228,Jof Fuart,Italy,2021-04-16,Wind slab,Wind slab,2,3,Off-piste skiing
229,Val d\'Isère,France,2021-04-20,None,,1,0,Backcountry skiing
230,La Grande Ruine,France,2021-05-03,Wind slab,New snow,3,3,Mountaineering/Climbing
231,Ailefroide Occidentale - glacier Long,France,2021-05-03,Wind slab,New snow,2,4,Mountaineering/Climbing
232,Villaroger (73640),France,2021-05-08,Wet snow,New snow,3,3,Backcountry skiing
233,Valloire (73450),France,2021-05-08,Wind slab,Wet snow,4,5,Backcountry skiing
234,Sofiatinden,Norway,2021-05-01,Wind slab,,2,2,Backcountry skiing
235,Gran Zebrù,Italy,2021-05-19,Wind slab,Wind slab,2,4,Off-piste skiing
236,Chamonix-Mont-Blanc,France,2021-05-19,New snow,Wind slab,1,0,Backcountry skiing
237,Chamonix-Mont-Blanc,France,2021-05-19,New snow,Wind slab,1,0,Mountaineering/Climbing
238,Chamonix-Mont-Blanc,France,2021-05-20,New snow,Wind slab,2,0,Backcountry skiing
