Location,Country,Date,Avalanche Problem 1,Avalanche Problem 2,Dead,Group Size,Type
"Grøtdalstindan
Details",Norway,2022-04-06 16:23:00,Wet snow,New snow,1,4.0,Backcountry skiing
"Westliche Karwendelspitze
Details",Germany,2022-04-14 12:44:00,Wet snow,,1,1.0,Mountaineering/Climbing
"Knödelkopf / Klösterle-Stuben
Details",Austria,2022-02-04 15:50:00,Wind slab,Gliding snow,1,4.0,Backcountry skiing
"Skeiðsfjall
Details",Iceland,2022-04-07 19:00:00,Wind slab,,1,3.0,Backcountry skiing
"Bradavica, Slavkovská dolina
Details",Slovakia,2022-09-21 11:00:00,,,2,4.0,Mountaineering/Climbing
"Ceillac
Details",France,2022-11-04 11:30:00,Wind slab,,1,2.0,Mountaineering/Climbing
"Champagny-en-Vanoise
Details",France,2022-11-05 10:00:00,New snow,,2,2.0,Mountaineering/Climbing
"Chantonnet
Details",Switzerland,2022-12-11 11:14:00,New snow,Persistent weak layer,1,2.0,Backcountry skiing
"Pass dei Omenit
Details",Switzerland,2022-12-11 12:00:00,Wind slab,Persistent weak layer,1,4.0,Backcountry skiing
"Piz Radönt
Details",Switzerland,2022-12-03 11:40:00,,,1,4.0,Mountaineering/Climbing
"Enchastrayes
Details",France,2022-12-05 15:30:00,New snow,Wind slab,1,2.0,Backcountry skiing
"Le Mônetier-les-Bains
Details",France,2022-12-07 14:40:00,New snow,Persistent weak layer,1,,Backcountry skiing
"Vars
Details",France,2022-12-10 15:40:00,New snow,Persistent weak layer,1,1.0,Off-piste skiing
"Krzyżne (trail) Five lakes valley
Details",Poland,2022-10-07 16:06:00,Wet snow,,1,,
"Przełęcz pod Kopą Kondracką (trail) Kondratowa Valley
Details",Poland,2022-12-10 10:54:00,Wind slab,,1,5.0,Hiking on foot or snowshoeing
"La Léchère
Details",France,2022-12-17 11:00:00,New snow,Persistent weak layer,1,2.0,Backcountry skiing
"Arp - Courmayeur
Details",Italy,2022-12-18 12:00:00,Wind slab,Persistent weak layer,1,2.0,Off-piste skiing
"Arp Vieille - Valgrisence
Details",Italy,2022-12-17 11:30:00,Wind slab,Persistent weak layer,1,2.0,Backcountry skiing
"Rif. Passo S. Niccolò
Details",Italy,2022-12-10 13:00:00,New snow,Wind slab,1,7.0,Backcountry skiing
"Priečne sedlo, Malá Studená dolina
Details",Slovakia,2022-12-22 12:14:00,Wind slab,,2,2.0,Hiking on foot or snowshoeing
